,company,answers,partners,tp,fp,precision
0,Ford,"['Changan Automobile Group and Jiangling Motors Group', 'Changan Automobile Group and Jiangling Motors Group', 'national pizza companies to local dry-cleaning businesses', ""Zoyte Automobile Co. last year to churn out inexpensive EVs.\nZoyte is the Dearborn company's third local partner, following Changan Automobile Co. and Jiangling Motor Group"", 'Ford Motor Co. and Volkswagen Group', 'Ford has partnered with Changan Group', 'Ford Motor Co.,', ""Ford Motor Co., Honda R&D Americas, McDonald's, Verizon Telematics, Dana Holding Corp.,"", 'Ford Motor Co. has partnered with Changan Group', 'joint-venture partners', 'Ford will develop midsize pickups and large commercial vans for both companies as early as 2022', 'Lyft', 'Ford Motor and VW are exploring a number of partnerships in commercial vehicles, midsize pickups and potentially autonomous and electric vehicle development', 'Ford will build commercial vans for VW in Europe and midsize pickups in South America, Europe and Africa', 'Volkswagen where both companies will co-develop midsize pickups and vans for overseas production', 'national pizza companies to local dry-cleaning businesses', 'Ford Motor Co. and its Indian partner Mahindra & Mahindra Ltd.', 'Ford Motor Co. and Volkswagen Group on Tuesday said they will collaborate on commercial vans and midsize pickups', 'the two companies will develop three Ford-branded utility vehicles', 'Volkswagen', 'Changan Automobile Group and Jiangling Motors Group', 'Jiangling Motors and Changan Automobile Co', 'Russia and Turkey', 'JMC and Changan Automobile Co', ""Baojun and Nissan Motor Co.'s Venucia"", ""Baojun and Nissan Motor Co.'"", 'companies in emerging technologies', 'other companies and Tier One suppliers', 'daily rental companies', 'Changan and JMC']","['Changan Automobile Co.', 'Ford Motor Co.', 'Volkswagen Group', 'Ford Motor', 'VW', 'Volkswagen', 'Baojun', ""Nissan Motor Co.'s"", 'Venucia', 'Changan']",10,0,1.0
1,Tesla,"['Panasonic, South Korea’s LG Chem and China’s Contemporary Amperex Technology Co.', 'Panasonic Corp. and Denso Corp', 'Panasonic is partnered with Tesla', 'Panasonic', 'Panasonic Corp. and Denso Corp.,', 'investment bank Evercore Partners Inc.', 'Tesla Motor Inc. and Apple Inc. would make logical partners', 'Toyota', 'traditional automakers, large suppliers and Silicon Valley companies', 'LeEco and NextEV', 'Panasonic and LG Chem', 'Tesla has partnerships with Toyota and Panasonic', 'German premium automakers', 'Tesla and Panasonic', 'global automakers', 'Tesla Motors Inc. is providing charging stations to Airbnb Inc. hosts on the West Coast as part of a partnership with the home-sharing startup', 'Panasonic Corp., the Japanese battery manufacturer that is teamed with Tesla', 'Sunrun', 'They jointly own and operate the Gigafactory in Sparks, Nev., which produces batteries for Tesla vehicles', 'Panasonic and Tesla', 'Panasonic Corp. and Denso Corp', 'Nvidia and Intel', 'state-owned FAW Group and SAIC Motor', 'Panasonic and other suppliers', 'Panasonic Corp. and Denso Corp.,', 'state-owned FAW Group and SAIC Motor', 'companies in emerging technologies', 'Panasonic and LG Chem', 'Apple or Google', 'automakers']","['Contemporary Amperex Technology Co.', 'LG Chem', 'Panasonic', 'Panasonic Corp.', 'Denso Corp.', 'Apple Inc.', 'Toyota', 'Intel', 'Nvidia', 'FAW Group', 'SAIC Motor', 'Apple', 'Google']",6,7,0.46153846153846156
2,GM,"['Glympse and iHeartRadio', 'ExxonMobil and MasterCard', 'ride-hailing companies Uber and Lyft', 'Honda', 'Chongqing Changan Automobile Co. and Jiangling Motors Corp', 'SAIC, GM and Guangxi Automobile Group Co', 'GM China, SAIC Motor Corp. and Wuling Motors', 'Changan Automobile Co. and Jiangling Motor Group', 'joint venture partners', 'GM and Guangxi Automobile Group Co.,', '$2.3 billion joint venture with LG Chem in Ohio', ""GM will help develop two new electric vehicles for Honda that will be powered by GM's upcoming Ultium batteries"", 'hydrogen fuel cell development and autonomous driving', 'Honda', 'Lyft', 'Honda', 'Ford Motor Co. and an investment unit of Google', 'Waymo has teamed up with Tata Motors Ltd.’s Jaguar and expanded its alliance with Fiat Chrysler Automobiles NV this year', 'Amazon', 'SAIC-GM-Wuling, in the southwest China city of Liuzhou, is a 50.1-44.0-5.9 partnership among SAIC, GM and Guangxi Automobile Group Co', 'Greensill, which provides working capital finance for businesses globally, and financial technology company C2FO', 'ExxonMobil and MasterCard', 'Ford is working with London-based Greensill, which provides working capital finance for businesses globally, and financial technology company C2FO', 'McCann and Commonwealth', 'automakers and suppliers', 'Lyft and Uber drivers', ""Omnicom's Goodby Silverstein & Partners and Interpublic Group of Cos McCann to handle Chevrolet"", 'automakers, suppliers and other local businesses', 'companies in emerging technologies', 'dealers']","['Honda', 'Chongqing Changan Automobile Co.', 'SAIC', 'SAIC Motor Corp.', 'Changan Automobile Co.', 'LG Chem', 'Ultium', 'Ford Motor Co.', 'Google', 'Fiat Chrysler Automobiles NV', 'Jaguar', 'Waymo', 'Amazon', 'Ford', 'Chevrolet', 'Omnicom']",8,8,0.5
3,Toyota,"['Amazon, Didi Chuxing, Pizza Hut, Uber and Mazda', 'Guangzhou Automobile Group and FAW Group', 'Guangzhou Automobile Group and FAW Group', 'Mazda Motor Corp. and Yamaha Motor Co', 'Guangzhou Automobile Group (GAC) and FAW Group', 'Uber and Didi', 'Guangzhou Automobile Group and FAW Group', 'Guangzhou Automobile Group and FAW Group', 'Beijing SinoHytec Co., Dongfeng Motor Corp. and Guangzhou Automobile Group Co.,', 'Guangzhou Auto and China FAW', 'Toyota Motor Corp. is forming a three-way partnership with Mazda Motor Corp. and parts supplier Denso Corp. to develop EVs and their batteries', 'Mazda Motor Corp. and Subaru maker Fuji Heavy Industries', 'U.S. Ski and Snowboard Association', 'Suzuki', 'Panasonic', 'Chinese autonomous driving startup Momenta', 'both companies will jointly develop small cars for emerging markets', 'Panasonic', 'Uber', 'Toyota is also collaborating with U.S. car-sharing company Getaround', 'Amazon, Didi Chuxing, Pizza Hut, Uber and Mazda', 'Mazda Motor Corp. and Yamaha Motor Co', 'Amazon Inc. and Apple Inc.', 'Mazda and Subaru', 'companies in emerging technologies', 'Panasonic', 'Guangzhou Automobile Group', 'Subaru', 'Volkswagen Group, PSA Peugeot Citroen and Mitsubishi', 'rival automakers and technology firms']","['Amazon', 'Mazda', 'Uber', 'FAW Group', 'Guangzhou Automobile Group', 'Mazda Motor Corp.', 'GAC', 'Dongfeng Motor Corp.', 'Guangzhou Automobile Group Co.', 'Denso Corp.', 'EVs', 'Toyota Motor Corp.', 'Fuji Heavy Industries', 'Subaru', 'Suzuki', 'Panasonic', 'Apple Inc.', 'Mitsubishi', 'PSA', 'Peugeot', 'Volkswagen Group']",13,8,0.6190476190476191
4,Nissan,"['Renault\xa0and Mitsubishi Motors', 'Renault and Mitsubishi', 'Renault SA and Mitsubishi Motors', 'Nissan-Renault-Mitsubishi', 'The two companies operated amiably as strategic partners', 'Nissan and Mitsubishi', 'Nissan Motor Co. and Mitsubishi Motors Corp.,', 'Renault, Nissan and Mitsubishi', 'French and Japanese', 'Nissan, Renault, and Mitsubishi', 'Renault, Nissan and Mitsubishi', 'Mitsubishi Motors', 'Microsoft', 'Renault, Nissan and Mitsubishi', 'both companies have repeatedly said they are committed to the partnership', 'Mitsubishi, Nissan and Renault', 'Renault-Nissan', 'Nissan, Renault and the third partner', 'Mitsubishi', 'Renault and the third partner, Mitsubishi Motors Corp.,', 'Renault and Mitsubishi', 'Renault and Mitsubishi', 'Renault and Mitsubishi', 'Mitsubishi Motors Corp.', 'Mitsubishi, Nissan and Renault', 'Renault and Nissan', 'Renault-Nissan-Mitsubishi', 'Renault and Nissan', 'Mitsubishi Motors Corp', 'Renault']","['Mitsubishi Motors', 'Renault', 'Mitsubishi', 'Renault SA', 'Mitsubishi Motors Corp.', 'Nissan Motor Co.', 'Microsoft']",7,0,1.0
5,BMW,"['BMW and Daimler', 'BMW AG, for example, has partnered with Intel Corp., Delphi Automotive and Fiat Chrysler Automobiles', 'Partners also include planemaker Airbus Group NV, engineering company Siemens AG and SGL Carbon SE', 'consortium with German rivals Audi and Daimler', 'technology companies or automakers', 'Israeli autonomous vehicle tech company Mobileye and chip maker Intel', 'BMW and Audi AG', 'Ford Motor Co. and Dow Chemical Co', 'Intel', 'open for any partners', 'Fiat Chrysler Automobiles, Intel, Mobileye, Delphi and Continental', 'It has formed a partnership with Fiat Chrysler Automobiles, Intel, Mobileye, Delphi and Continental', ""BMW Group has announced an alliance with chipmaker Intel and Israel's Mobileye"", 'Intel and Mobileye', 'Israeli collision detection software maker Mobileye and U.S. chipmaker Intel', 'BMW and Daimler have entered into a long-term development partnership', ""Daimler's growing partnership with premium rival BMW, the magazine said.\nThe partnership started in April 2010, with Daimler taking a 3.1 percent share in both Renault and Nissan"", 'Daimler, BMW, and Audi', 'Apple and Google', 'Suppliers are teaming up with each other and with automakers to reach technical goals', 'Audi and Daimler', 'technology companies or automakers', 'Fiat Chrysler Automobiles, as well as Intel and Mobileye', 'BMW and Daimler', 'Apple and Google', 'BMW, Mercedes-Benz and Audi', 'BMW and Daimler', 'BMW North America, Mini USA and Rolls-Royce North America', 'Intel', 'Ford or Toyota']","['Daimler', 'BMW AG', 'Delphi Automotive', 'Fiat Chrysler Automobiles', 'Intel Corp.', 'Audi', 'Intel', 'Audi AG', 'Ford Motor Co.', 'Continental', 'Delphi', 'BMW Group', 'Nissan', 'Renault', 'Apple', 'Google', 'Mercedes-Benz', 'Ford', 'Toyota']",11,8,0.5789473684210527
6,VW,"[""two of China's largest automakers, SAIC and FAW"", 'SAIC and FAW', 'state-owned FAW Group and SAIC Motor', 'joint ventures with state-owned FAW Group and SAIC Motor', ""VW's venture with Anhui Jianghuai Automobile Group"", ""two of China's largest automakers, SAIC Motor and FAW Car"", 'VW’s venture with Anhui Jianghuai Automobile Group', 'VW, Daimler and GM', 'VW, Daimler and GM', 'battery specialists and green technology firms such as SMA Solar', 'Ford will develop midsize pickups and large commercial vans for both companies as early as 2022', 'VW also signed deals with its Chinese partners in the presence of the Chinese premier and his German counterpart', 'Jianghuai Automobile Co', 'Ford and Volkswagen', 'joint ventures', 'VW has entered into a digital partnership with the Singularity Partnership', 'two companies at eye level that will closely cooperate with one another', 'VW will set up the battery facility in Salzgitter, Lower Saxony, under a partnership', ""Ford's partnership with VW"", 'independent, equal partners', 'SAIC Motor and FAW Car', ""two of China's largest automakers, SAIC Motor and FAW Car"", 'Shanghai Automotive and FAW', ""Hyundai Motor Co. and China's Byton"", 'Chinese joint ventures', 'battery specialists and green technology firms such as SMA Solar', 'Daimler and Tesla', 'Venables, Bell & Partners', 'battery specialists and green technology firms', 'Volkswagen AG and Ford Motor Co.']","['FAW', 'SAIC', 'FAW Group', 'SAIC Motor', 'Daimler', 'GM', 'Ford', 'Volkswagen', 'Byton', 'Hyundai Motor Co.', 'Tesla', 'Ford Motor Co.', 'Volkswagen AG']",7,6,0.5384615384615384
7,EV,"['VW Group, Ford Motor Co. and BMW Group', ""VW's venture with Anhui Jianghuai Automobile Group"", 'Hyundai, Jaguar, Land Rover, Nissan, Mahindra, Polestar', 'VW, Daimler and GM', 'Toyota Motor Corp., Honda Motor Co., Mitsubishi Motors Corp. and Fiat Chrysler Automobiles', 'joint Chinese venture partners, SAIC and First Automotive Works (FAW),', 'SAIC and First Automotive Works (FAW),', 'Guangzhou Automobile Group (GAC) and FAW Group', 'BMW, Daimler, Volkswagen and Ford', 'ChargePoint, EVgo and Electrify America', 'Tesla Motors Inc., General Motors, Ford Motor Co., Nissan Motor Co., BMW AG, Daimler AG, Duke Energy Corp. and Consolidated Edison Inc.', 'Hyundai, Jaguar, Land Rover, Nissan, Mahindra, Polestar', 'Toyota and Panasonic', ""General Motors and EVgo have partnered to triple the size of EVgo's U.S. fast charging network"", 'Jianghuai and Zotye', 'China FAW Group Corp. and SAIC Motor Corp', 'foreign automakers must create an electric vehicle joint venture with a separate local partner', 'Daimler', 'Suppliers are teaming up with each other and with automakers to reach technical goals', 'auto manufacturers and EV battery makers', 'Renault and Mitsubishi', 'national pizza companies to local dry-cleaning businesses', 'automakers, suppliers and other local businesses', 'Peiker, Mobileye, Safran', 'Ford and Waymo', 'companies in emerging technologies', 'Three state-owned automakers', 'Ford Motor Co., Honda R&D Americas, McDonald’s, Verizon Telematics, suppliers Dana Holding Corp., Magna International, and Munich Reinsurance America Inc', 'Uber or car rental agencies', 'Bessemer Venture Partners, Avis Budget Group and Alliance Ventures']","['BMW Group', 'Ford Motor Co.', 'VW Group', 'VW', 'Hyundai', 'Jaguar', 'Land Rover', 'Mahindra', 'Nissan', 'Daimler', 'GM', 'Fiat Chrysler Automobiles', 'Honda Motor Co.', 'Mitsubishi Motors Corp.', 'Toyota Motor Corp.', 'FAW', 'SAIC', 'FAW Group', 'GAC', 'Guangzhou Automobile Group', 'BMW', 'Ford', 'Volkswagen', 'ChargePoint', 'EVgo', 'BMW AG', 'Daimler AG', 'General Motors', 'Nissan Motor Co.', 'Panasonic', 'Toyota', 'China FAW Group Corp.', 'Mitsubishi', 'Renault', 'Magna International', 'Alliance Ventures']",4,32,0.1111111111111111
8,Automotive News,"['traditional automakers, large suppliers and Silicon Valley companies', 'Advertising Age', 'Cox Automotive', 'Foreign auto manufacturers now must have Chinese partners', 'Dentsu Aegis Network, Cheil Worldwide, WPP, Omnicom, Publicis and MDC Partners', 'Suzuki and PSA', 'PSA and Suzuki', 'Geely and Volvo', 'Zhejiang Geely Holding Group Co. and Volvo Car Corp.,', 'foreign automakers and their suppliers', 'Suppliers are teaming up with each other and with automakers to reach technical goals', 'Ford Motor Credit Co. announced a partnership with AutoFi', 'rival cities and states to work together to recruit auto industry investment', ""Volkswagen and Amazon Web Services' cloud-computing partnership developed a digital industrial cloud automotive platform for VW"", 'Waymo and FCA', 'three automakers were awarded Innovation Partnership Awards', ""Ford's partnership with VW"", 'Chase and AutoFi', 'state-owned company has considerable experience working with Volkswagen', 'fintech companies', 'Peiker, Mobileye, Safran', 'automobile dealers, credit unions, financial services companies, recreational dealers', 'Amazon or like Google', ""Ford Motor Co., Honda R&D Americas, McDonald's, Verizon Telematics, Dana Holding Corp.,"", 'Peiker, Mobileye, Safran', 'large suppliers and Silicon Valley companies', 'Ford Motor Co., Honda R&D Americas, McDonald’s, Verizon Telematics, suppliers Dana Holding Corp., Magna International, and Munich Reinsurance America Inc.', 'Uber or car rental agencies', 'ride-share operations to technology companies', 'Morgan Stanley and Goldman Sachs Group Inc.,']","['Cox Automotive', 'Omnicom', 'WPP', 'PSA', 'Suzuki', 'Geely', 'Volvo', 'Volvo Car Corp.', 'Zhejiang Geely Holding Group Co.', 'Ford Motor Credit Co.', 'VW', 'Volkswagen', 'FCA', 'Waymo', 'Ford', 'Chase', 'fintech', 'Amazon', 'Google', 'Ford Motor Co.', 'Magna International', 'Goldman Sachs Group Inc.', 'Morgan Stanley']",0,23,0.0
9,Trump,"['China and Europe', ""Canada's and Mexico"", 'Mexico and Canada', 'Canada and Mexico', 'U.S., Mexico and Canada', 'Michigan and Ohio', 'Canada and Mexico', 'the European Union, Japan and India', 'Volkswagen Group, BMW and Daimler', 'U.S. business interests and foreign trading partners', 'Ventec Life Systems Inc.,', 'business leaders from defense, technology and other sectors', 'auto industry and suppliers', 'big three automakers', 'Ford Motor Co. and Tesla Motors Inc.,', 'Detroit 3 automakers', 'Ford, along with General Motors, General Electric, Fiat Chrysler', 'GM, Barra and Ford Motor Co.', 'GM and Ventec', 'GM and Ford', 'Volkswagen, BMW and Daimler', 'automakers', 'global manufacturers such as Harley-Davidson to small tech startups', 'Patomak Global Partners', 'EU, Japan and other trading partners', 'EU, Japan', 'The United States', '3 automakers and global automakers with U.S. operations', 'U.S. trading partners', 'Canada, Mexico and the European Union']","['the European Union', 'BMW', 'Daimler', 'Volkswagen Group', 'Ford Motor Co.', 'Fiat', 'Ford', 'General Motors', 'Barra', 'GM', 'Volkswagen', 'Harley-Davidson', 'EU']",0,13,0.0
